      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
       141        3.1422922817        4.2829483408     4412.2496501114        3.1422922817        1.1406560591      4.09131093
       142        3.2748442923        4.2833607245     3901.1113295888        3.2748442923        1.0085164322      4.00649934
       143        3.3789896828        4.2836092915     3499.2209264324        3.3789896828        0.9046196087      4.12507531
       144        3.4510241614        4.2836791868     3220.8498038492        3.4510241614        0.8326550253      4.21577322
       145        3.4899130204        4.2835707758     3070.0017988509        3.4899130204        0.7936577553      4.28101436
       146        3.4972970528        4.2832977351     3040.3829514803        3.4972970528        0.7860006823      4.18776062
       147        3.4772855178        4.2828900808     3116.2140622031        3.4772855178        0.8056045631      4.19916414
       148        3.4360428479        4.2823839790     3273.7899650977        3.4360428479        0.8463411312      4.11407011
       149        3.3812337705        4.2818216760     3483.6256199010        3.3812337705        0.9005879055      4.21822681
       150        3.3213670992        4.2812498365     3712.9880106204        3.3213670992        0.9598827373      4.17906782
       151        3.2650924998        4.2807140586     3928.5951550472        3.2650924998        1.0156215588      4.12507531
       152        3.2205100502        4.2802537099     4099.2668688116        3.2205100502        1.0597436597      4.22880991
       153        3.1945484013        4.2799021601     4198.3310432313        3.1945484013        1.0853537588      4.07704186
       154        3.1924472395        4.2796851444     4205.6192375158        3.1924472395        1.0872379049      4.17305234
       155        3.2173722780        4.2796121528     4108.9226491035        3.2173722780        1.0622398748      4.10940484
       156        3.2702135383        4.2796892106     3904.8218314826        3.2702135383        1.0094756723      4.17738174
       157        3.3495316706        4.2799069847     3598.8483304373        3.3495316706        0.9303753141      4.32831132
       158        3.4516931875        4.2802461285     3204.9822512340        3.4516931875        0.8285529410      4.20379172
       159        3.5711620093        4.2806798603     2744.5344850557        3.5711620093        0.7095178510      4.24988701
       160        3.7009244174        4.2811740334     2244.5031914406        3.7009244174        0.5802496160      4.31645364
       161        3.8330212870        4.2816907425     1735.5289809427        3.8330212870        0.4486694555      4.29166113
       162        3.9591449063        4.2821917432     1249.5995456000        3.9591449063        0.3230468369      4.27621530
       163        4.0712553760        4.2826397773      817.6704477862        4.0712553760        0.2113844013      4.12930567
       164        4.1621761322        4.2830016033      467.3732613948        4.1621761322        0.1208254711      4.15892426
       165        4.2261217290        4.2832482167      220.9748709106        4.2261217290        0.0571264877      4.27419786
       166        4.2591306466        4.2833625409       93.7330464291        4.2591306466        0.0242318943      4.33478308
       167        4.2593543995        4.2833359353       92.7646174009        4.2593543995        0.0239815358      4.22486582
       168        4.2271981420        4.2831692872      216.5058116745        4.2271981420        0.0559711452      4.25113339
       169        4.1652989927        4.2828745798      454.8021633453        4.1652989927        0.1175755872      3.79086632
       170        4.0783393821        4.2824723373      789.6206336883        4.0783393821        0.2041329552      4.17714098
       171        3.9727152107        4.2819914322     1196.3324870971        3.9727152107        0.3092762215      4.15749287
       172        3.8560770336        4.2814657125     1645.4750182706        3.8560770336        0.4253886789      4.20232928
       173        3.7367831491        4.2809337932     2104.8662915436        3.7367831491        0.5441506441      4.31748217
       174        3.6232958561        4.2804342664     2541.9219910659        3.6232958561        0.6571384103      3.61628446
       175        3.5235705486        4.2800032651     2926.0090822616        3.5235705486        0.7564327165      3.88411432
       176        3.4444778530        4.2796711545     3230.6682834771        3.4444778530        0.8351933015      4.18751867
       177        3.3913057713        4.2794642510     3435.5465084334        3.3913057713        0.8881584797      4.19115094
       178        3.3673637825        4.2793977102     3527.9007604900        3.3673637825        0.9120339277      4.19624671
       179        3.3737358391        4.2794784737     3503.5649798248        3.3737358391        0.9057426346      4.20135488
       180        3.4091835353        4.2797011849     3367.3088081892        3.4091835353        0.8705176496      4.23127872
